Symbol;PriceChangePercentile
DBX1;636.00673700
DBXA;565.99628300
DBXW;1023.73278300
DCS;1049.70925900
DCSG;12.46505200
DEFF;10.98704900
DEQ;262.65549300
DEQF;15.63913000
DEZ;1339.03820500
DFFF;7.92000000
DGEF;7.92000000
DHE;80.37632000
DHEF;26.77527300
DISF;13.34526700
DKSH;497.95584800
DMG;36634.51770400
DMGF;10.16082200
DOCF;14.58286500
DPW;377.45711100
DPW1;1315.64923900
DPW2;1091.35391900
DPW4;1431.13327000
DPW5;1034.36173400
DPWE;504.82226500
DPWF;11.52629700
DPWP;11.52629700
DRIA;1580.47348500
DRIF;15.20768300
DRIG;11.89571500
DRW3;488.22734800
DSM;253.64813900
DSMF;10.80248200
DSMP;10.80248200
DSYG;11.11280900
DSYH;11.03417000
DSYP;12.25542200
DTE;130.74736200
DTE1;411.49211200
DTE2;582.47664100
DTE4;374.95160500
DTE5;234.18379200
DTEE;176.54677100
DTEF;7.35300000
DTEP;7.35300000
DTGF;11.49011600
DTGP;8.80000000
DUE;592.68208000
DUEF;12.36217200
DUFF;18.93123100
DUFN;1837.37650500
DUKF;7.92000000
DVC;221.41618400
DVCG;8.84566200
DWSF;12.94669300
DYS1;225.88006000
E2AI;68012.71013800
E2AS;154650.38714000
E2BS;55669.66524500
E2DP;6097.77850600
E2DS;8.80000000
E2F;291.39606500
E2FG;12.52193700
E2FH;12.52944000
E2FP;12.52945300
E2IA;47915.67160100
E2KF;21905.47458900
E2NG;29863.06625800
E2NL;5.40299600
E2NR;8.80000000
E2NT;10351.12080500
E2NU;8.80000000
E2RI;4.23860400
E2SL;174477.44991600
E2ZJ;8.80000000
E3B;351.48352700
E3BF;17.80908500
E3DF;34117.34227800
E3OA;9529.38707300
E6DF;25588.72250500
EAD;364.58547600
EADF;14.38870400
EADP;14.38870400
EAI;482.64855600
EAIF;7.92000000
EAM;311.46891900
EAMG;11.16000000
EAPF;9.88068200
EAW1;331.15834600
EAW2;271.76044500
EAW4;441.92525500
EAW5;203.71087200
EBAF;10.75999900
EBOG;15.17100100
EBS;2222.78595300
ECVF;15.78493800
EDPF;9.41508400
EDS;307.06892100
EDSF;9.45392900
EDSP;8.80331000
EF3;3957.86197800
EF3G;8.94583200
EFC;389.22544100
EFCG;9.42739000
EFGF;12.72992300
EFGN;1230.55951600
EFXF;8.92015900
EFXP;8.92015900
EG4F;7.92000000
EG4P;8.80000000
EIA;224.36711800
EIAG;7.92000000
ELI;237.63752800
ELIF;8.41073600
ELV;121.11846500
ELVH;7.92000000
ELVP;7.92000000
EMSG;9.36056500
EMSN;1485.34484700
ENBF;11.46608000
ENE1;257.05583600
ENE2;438.98549400
ENE4;315.42865300
ENE5;187.61134500
ENI1;416.83888200
ENI2;355.44160100
ENI4;870.15709700
ENI5;280.92850700
ENL5;724.89150800
ENLG;10.77685200
ENLH;10.86492200
ENLP;10.86492200
ENLQ;10.86492200
ENRF;16.21170000
ENRP;18.10569400
ENT5;430.91749000
ENTG;11.74368600
ENTH;11.82325500
ENTP;11.82325500
ENTQ;11.82325500
ENUF;10.42426100
ENUR;184.55118200
EOA;150.56297200
EOA1;775.68657800
EOA2;527.62856600
EOA4;725.65107800
EOA5;411.19441300
